,balance,position,action
0,9975.68846682861,-1.000683570175574,[-1.]
1,9975.6568257005,-1.0000002449534124,[-1.]
2,9975.6568257005,-1.0000002449534124,[-1.]
3,9975.6568257005,-1.0000002449534124,[-1.]
4,9975.6568257005,-1.0000002449534124,[-1.]
5,9975.6568257005,-1.0000002449534124,[-1.]
6,9975.6568257005,-1.0000002449534124,[-1.]
7,9975.6568257005,-1.0000002449534124,[-1.]
8,9975.6568257005,-1.0000002449534124,[-1.]
9,9975.6568257005,-1.0000002449534124,[-1.]
10,9975.6568257005,-1.0000002449534124,[-1.]
11,9975.6568257005,-1.0000002449534124,[-1.]
12,9975.6568257005,-1.0000002449534124,[-1.]
13,9975.6568257005,-1.0000002449534124,[-1.]
14,9975.6568257005,-1.0000002449534124,[-1.]
15,9975.6568257005,-1.0000002449534124,[-1.]
16,9975.6568257005,-1.0000002449534124,[-1.]
17,9975.6568257005,-1.0000002449534124,[-1.]
18,9975.6568257005,-1.0000002449534124,[-1.]
19,9975.6568257005,-1.0000002449534124,[-1.]
20,9975.6568257005,-1.0000002449534124,[-1.]
21,9975.6568257005,-1.0000002449534124,[-1.]
22,9975.6568257005,-1.0000002449534124,[-1.]
23,9975.6568257005,-1.0000002449534124,[-1.]
24,9975.6568257005,-1.0000002449534124,[-1.]
25,9975.6568257005,-1.0000002449534124,[-1.]
26,9975.6568257005,-1.0000002449534124,[-1.]
27,9975.6568257005,-1.0000002449534124,[-1.]
28,9975.6568257005,-1.0000002449534124,[-1.]
29,9975.6568257005,-1.0000002449534124,[-1.]
30,9975.6568257005,-1.0000002449534124,[-1.]
31,9975.6568257005,-1.0000002449534124,[-1.]
32,9975.6568257005,-1.0000002449534124,[-1.]
33,9975.6568257005,-1.0000002449534124,[-1.]
34,9975.6568257005,-1.0000002449534124,[-1.]
35,9975.6568257005,-1.0000002449534124,[-1.]
36,9975.6568257005,-1.0000002449534124,[-1.]
37,9975.6568257005,-1.0000002449534124,[-1.]
38,9975.6568257005,-1.0000002449534124,[-1.]
39,9975.6568257005,-1.0000002449534124,[-1.]
40,9975.6568257005,-1.0000002449534124,[-1.]
41,9975.6568257005,-1.0000002449534124,[-1.]
42,9975.6568257005,-1.0000002449534124,[-1.]
43,9975.6568257005,-1.0000002449534124,[-1.]
44,9975.6568257005,-1.0000002449534124,[-1.]
45,9975.6568257005,-1.0000002449534124,[-1.]
46,9975.6568257005,-1.0000002449534124,[-1.]
47,9975.6568257005,-1.0000002449534124,[-1.]
48,9975.6568257005,-1.0000002449534124,[-1.]
49,9975.6568257005,-1.0000002449534124,[-1.]
50,9975.6568257005,-1.0000002449534124,[-1.]
51,9975.6568257005,-1.0000002449534124,[-1.]
52,9975.6568257005,-1.0000002449534124,[-1.]
53,9975.6568257005,-1.0000002449534124,[-1.]
54,9975.6568257005,-1.0000002449534124,[-1.]
55,9975.6568257005,-1.0000002449534124,[-1.]
56,9975.6568257005,-1.0000002449534124,[-1.]
57,9975.6568257005,-1.0000002449534124,[-1.]
58,9975.6568257005,-1.0000002449534124,[-1.]
59,9975.6568257005,-1.0000002449534124,[-1.]
60,9975.6568257005,-1.0000002449534124,[-1.]
61,9975.6568257005,-1.0000002449534124,[-1.]
62,9975.6568257005,-1.0000002449534124,[-1.]
63,9975.6568257005,-1.0000002449534124,[-1.]
64,9975.6568257005,-1.0000002449534124,[-1.]
65,9975.6568257005,-1.0000002449534124,[-1.]
66,9975.6568257005,-1.0000002449534124,[-1.]
67,9975.6568257005,-1.0000002449534124,[-1.]
68,9975.6568257005,-1.0000002449534124,[-1.]
69,9975.6568257005,-1.0000002449534124,[-1.]
70,9975.6568257005,-1.0000002449534124,[-1.]
71,9975.6568257005,-1.0000002449534124,[-1.]
72,9975.6568257005,-1.0000002449534124,[-1.]
73,9975.6568257005,-1.0000002449534124,[-1.]
74,9975.6568257005,-1.0000002449534124,[-1.]
75,9975.6568257005,-1.0000002449534124,[-1.]
76,9975.6568257005,-1.0000002449534124,[-1.]
77,9975.6568257005,-1.0000002449534124,[-1.]
78,9975.6568257005,-1.0000002449534124,[-1.]
79,9975.6568257005,-1.0000002449534124,[-1.]
80,9975.6568257005,-1.0000002449534124,[-1.]
81,9975.6568257005,-1.0000002449534124,[-1.]
82,9975.6568257005,-1.0000002449534124,[-1.]
83,9975.6568257005,-1.0000002449534124,[-1.]
84,9975.6568257005,-1.0000002449534124,[-1.]
85,9975.6568257005,-1.0000002449534124,[-1.]
86,9975.6568257005,-1.0000002449534124,[-1.]
87,9975.6568257005,-1.0000002449534124,[-1.]
88,9975.6568257005,-1.0000002449534124,[-1.]
89,9975.6568257005,-1.0000002449534124,[-1.]
90,9975.6568257005,-1.0000002449534124,[-1.]
91,9975.6568257005,-1.0000002449534124,[-1.]
92,9975.6568257005,-1.0000002449534124,[-1.]
93,9975.6568257005,-1.0000002449534124,[-1.]
94,9975.6568257005,-1.0000002449534124,[-1.]
95,9975.6568257005,-1.0000002449534124,[-1.]
96,9975.6568257005,-1.0000002449534124,[-1.]
97,9975.6568257005,-1.0000002449534124,[-1.]
98,9975.6568257005,-1.0000002449534124,[-1.]
99,9975.6568257005,-1.0000002449534124,[-1.]
100,9975.6568257005,-1.0000002449534124,[-1.]
101,9975.6568257005,-1.0000002449534124,[-1.]
102,9975.6568257005,-1.0000002449534124,[-1.]
103,9975.6568257005,-1.0000002449534124,[-1.]
104,9975.6568257005,-1.0000002449534124,[-1.]
105,9975.6568257005,-1.0000002449534124,[-1.]
106,9975.6568257005,-1.0000002449534124,[-1.]
107,9975.6568257005,-1.0000002449534124,[-1.]
108,9975.6568257005,-1.0000002449534124,[-1.]
109,9975.6568257005,-1.0000002449534124,[-1.]
110,9975.6568257005,-1.0000002449534124,[-1.]
111,9975.6568257005,-1.0000002449534124,[-1.]
112,9975.6568257005,-1.0000002449534124,[-1.]
113,9975.6568257005,-1.0000002449534124,[-1.]
114,9975.6568257005,-1.0000002449534124,[-1.]
115,9975.6568257005,-1.0000002449534124,[-1.]
116,9975.6568257005,-1.0000002449534124,[-1.]
117,9975.6568257005,-1.0000002449534124,[-1.]
118,9975.6568257005,-1.0000002449534124,[-1.]
119,9975.6568257005,-1.0000002449534124,[-1.]
120,9975.6568257005,-1.0000002449534124,[-1.]
121,9975.6568257005,-1.0000002449534124,[-1.]
122,9975.6568257005,-1.0000002449534124,[-1.]
123,9975.6568257005,-1.0000002449534124,[-1.]
124,9975.6568257005,-1.0000002449534124,[-1.]
125,9975.6568257005,-1.0000002449534124,[-1.]
126,9975.6568257005,-1.0000002449534124,[-1.]
127,9975.6568257005,-1.0000002449534124,[-1.]
128,9975.6568257005,-1.0000002449534124,[-1.]
129,9975.6568257005,-1.0000002449534124,[-1.]
130,9975.6568257005,-1.0000002449534124,[-1.]
131,9975.6568257005,-1.0000002449534124,[-1.]
132,9975.6568257005,-1.0000002449534124,[-1.]
133,9975.6568257005,-1.0000002449534124,[-1.]
134,9975.6568257005,-1.0000002449534124,[-1.]
135,9975.6568257005,-1.0000002449534124,[-1.]
136,9975.6568257005,-1.0000002449534124,[-1.]
137,9975.6568257005,-1.0000002449534124,[-1.]
138,9975.6568257005,-1.0000002449534124,[-1.]
139,9975.6568257005,-1.0000002449534124,[-1.]
140,9975.6568257005,-1.0000002449534124,[-1.]
141,9975.6568257005,-1.0000002449534124,[-1.]
142,9975.6568257005,-1.0000002449534124,[-1.]
143,9975.6568257005,-1.0000002449534124,[-1.]
144,9975.6568257005,-1.0000002449534124,[-1.]
145,9975.6568257005,-1.0000002449534124,[-1.]
146,9975.6568257005,-1.0000002449534124,[-1.]
147,9975.6568257005,-1.0000002449534124,[-1.]
148,9975.6568257005,-1.0000002449534124,[-1.]
149,9975.6568257005,-1.0000002449534124,[-1.]
150,9975.6568257005,-1.0000002449534124,[-1.]
151,9975.6568257005,-1.0000002449534124,[-1.]
152,9975.6568257005,-1.0000002449534124,[-1.]
153,9975.6568257005,-1.0000002449534124,[-1.]
154,9975.6568257005,-1.0000002449534124,[-1.]
155,9975.6568257005,-1.0000002449534124,[-1.]
156,9975.6568257005,-1.0000002449534124,[-1.]
157,9975.6568257005,-1.0000002449534124,[-1.]
158,9975.6568257005,-1.0000002449534124,[-1.]
159,9975.6568257005,-1.0000002449534124,[-1.]
160,9975.6568257005,-1.0000002449534124,[-1.]
161,9975.6568257005,-1.0000002449534124,[-1.]
162,9975.6568257005,-1.0000002449534124,[-1.]
163,9975.6568257005,-1.0000002449534124,[-1.]
164,9975.6568257005,-1.0000002449534124,[-1.]
165,9975.6568257005,-1.0000002449534124,[-1.]
166,9975.6568257005,-1.0000002449534124,[-1.]
167,9975.6568257005,-1.0000002449534124,[-1.]
168,9975.6568257005,-1.0000002449534124,[-1.]
169,9975.6568257005,-1.0000002449534124,[-1.]
170,9975.6568257005,-1.0000002449534124,[-1.]
171,9975.6568257005,-1.0000002449534124,[-1.]
172,9975.6568257005,-1.0000002449534124,[-1.]
173,9975.6568257005,-1.0000002449534124,[-1.]
174,9975.6568257005,-1.0000002449534124,[-1.]
175,9975.6568257005,-1.0000002449534124,[-1.]
176,9975.6568257005,-1.0000002449534124,[-1.]
177,9975.6568257005,-1.0000002449534124,[-1.]
178,9975.6568257005,-1.0000002449534124,[-1.]
179,9975.6568257005,-1.0000002449534124,[-1.]
180,9975.6568257005,-1.0000002449534124,[-1.]
181,9975.6568257005,-1.0000002449534124,[-1.]
182,9975.6568257005,-1.0000002449534124,[-1.]
183,9975.6568257005,-1.0000002449534124,[-1.]
184,9975.6568257005,-1.0000002449534124,[-1.]
185,9975.6568257005,-1.0000002449534124,[-1.]
186,9975.6568257005,-1.0000002449534124,[-1.]
187,9975.6568257005,-1.0000002449534124,[-1.]
188,9975.6568257005,-1.0000002449534124,[-1.]
